The Webway
Region 	System / POS 	System / POS 	Status 	Owner 	Password 	Dist (ly) 	Route 	Friendly
Delve 	D-W7F0 @ 3-1 	1-SMEB @ 5-1 	Online 	CONDI 	- 	3.59 	Chartreuse 	Yes
Delve 	1DQ1-A @ 2-1 	39P-1J @ 2-1 	Online 	CONDI 	- 	1.51 	Chartreuse 	Yes
Delve 	5BTK-M @ 2-1 	Q-02UL @ 1-1 	Online 	CONDI 	- 	1.93 	Chartreuse 	Yes
Delve 	MO-GZ5 @ 2-1 	5-CQDA @ 1-1 	Online 	CONDI 	- 	4.84 	Chartreuse 	Yes
Delve 	3-DMQT @ 2-1 	J-LPX7 @ 1-1 	Online 	CONDI 	- 	4.53 	Chartreuse 	Yes
Delve 	N-8YET @ 4-1 	K-6K16 @ 1-1 	Online 	CONDI 	- 	4.98 	Chartreuse 	Yes
Delve 	T-M0FA @ 1-1 	4K-TRB @ 2-1 	Online 	CONDI 	- 	3.92 	Chartreuse 	Yes
Delve 	Y-OMTZ @ 3-1 	S-6HHN @ 2-1 	Online 	CONDI 	- 	3.51 	Chartreuse 	Yes
Delve 	QX-LIJ @ 3-1 	A-BO4V @ 4-1 	Online 	CONDI 	- 	4.66 	Chartreuse 	Yes
Delve 	SVM-3K @ 2-1 	8-YNBE @ 1-1 	Online 	CONDI 	- 	4.65 	Chartreuse 	Yes
Delve 	7-K6UE @ 2-1 	E-VKJV @ 2-1 	Online 	CONDI 	- 	4.84 	Chartreuse 	Yes
Delve 	8WA-Z6 @ 3-1 	BX-VEX @ 1-1 	Online 	CONDI 	- 	4.73 	Chartreuse 	Yes
Delve 	FM-JK5 @ 2-1 	31X-RE @ 1-1 	Online 	CONDI 	- 	3.39 	Chartreuse 	Yes
Delve 	ZA9-PY @ 2-1 	PDE-U3 @ 1-1 	Online 	CONDI 	- 	4.49 	Chartreuse 	Yes
Delve 	ZXB-VC @ 2-1 	F-9PXR @ 1-1 	Online 	CONDI 	- 	4.93 	Chartreuse 	Yes
Delve 	M2-XFE @ 2-1 	HZAQ-W @ 4-1 	Online 	CONDI 	- 	3.93 	Chartreuse 	Yes
Delve 	NOL-M9 @ 2-1 	D-3GIQ @ 4-1 	Online 	CONDI 	- 	4.90 	Chartreuse 	Yes
Delve 	PS-94K @ 2-1 	7UTB-F @ 1-1 	Online 	CONDI 	- 	0.75 	Chartreuse 	Yes
Delve 	T5ZI-S @ 2-1 	QY1E-N @ 2-1 	Online 	CONDI 	- 	4.59 	Chartreuse 	Yes
